Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Book Appointment,Chrome 134.0.6998.89,,,18-03-2025 02:43:41,18-03-2025 02:44:09,27.739s,PASSED
,,,,,,,
Test Cases/CURA Health Service/Book Appointment,Chrome 134.0.6998.89,,,18-03-2025 02:43:41,18-03-2025 02:44:09,27.561s,PASSED
Start listener action : enableSauceLabs,Chrome 134.0.6998.89,,,18-03-2025 02:43:41,18-03-2025 02:43:41,0.015s,PASSED
"openBrowser("""")",Chrome 134.0.6998.89,,,18-03-2025 02:43:41,18-03-2025 02:43:54,13.042s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 134.0.6998.89,,,18-03-2025 02:43:54,18-03-2025 02:43:57,2.977s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 134.0.6998.89,,,18-03-2025 02:43:57,18-03-2025 02:43:58,0.575s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_btn-make-appointment""), ""Make Appointment"")",Chrome 134.0.6998.89,,,18-03-2025 02:43:58,18-03-2025 02:43:58,0.343s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_btn-make-appointment""))",Chrome 134.0.6998.89,,,18-03-2025 02:43:58,18-03-2025 02:44:00,1.636s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username""), ""John Doe"")",Chrome 134.0.6998.89,,,18-03-2025 02:44:00,18-03-2025 02:44:01,0.954s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:01,18-03-2025 02:44:01,0.552s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 134.0.6998.89,,,18-03-2025 02:44:01,18-03-2025 02:44:02,0.441s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_btn-login""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:02,18-03-2025 02:44:03,1.273s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 134.0.6998.89,,,18-03-2025 02:44:03,18-03-2025 02:44:04,0.487s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:04,18-03-2025 02:44:04,0.491s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:04,18-03-2025 02:44:05,0.837s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_5""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:05,18-03-2025 02:44:06,0.790s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment""), ""Make an appointment"")",Chrome 134.0.6998.89,,,18-03-2025 02:44:06,18-03-2025 02:44:07,0.803s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_btn-book-appointment""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:07,18-03-2025 02:44:07,0.677s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 134.0.6998.89,,,18-03-2025 02:44:07,18-03-2025 02:44:08,0.602s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 134.0.6998.89,,,18-03-2025 02:44:08,18-03-2025 02:44:08,0.665s,PASSED
closeBrowser(),Chrome 134.0.6998.89,,,18-03-2025 02:44:08,18-03-2025 02:44:09,0.161s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 134.0.6998.89,,,18-03-2025 02:44:09,18-03-2025 02:44:09,0.001s,PASSED
